message,dtTime,userID,user,type,episode,time
难受,104.51,d91a71b6,d91a71b6,1,1,5
力气真大，毫不费力就抱起来了,105.243,efd2c092,efd2c092,1,1,5
手电筒咋办,105.457,8a15682e,8a15682e,1,1,5
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,106.123,e048d958,e048d958,1,1,5
运气真好，能捡到妹子,106.89,eea46c2e,eea46c2e,1,1,5
哟哟哟,107.561,c71bc46d,c71bc46d,1,1,5
大雨天还黑的要死 兄弟你怎么不去当狙击手呢,108.565,b1890acc,b1890acc,1,1,5
被捡尸,109.664,8bbc55e0,8bbc55e0,1,1,5
那条狗我刚刚看成了猪。。。,112.018,3acf81c2,3acf81c2,1,1,5
说眼神好的先看看人家的职业,112.722,6fdfd843,6fdfd843,1,1,5
真棒,113.441,58df5c01,58df5c01,1,1,5
怎么都是双重弹幕,114.225,cabc79e1,cabc79e1,1,1,5
灯不要了？,115.622,388d043b,388d043b,1,1,5
捡啥老婆，等国家分配呢,118.873,7f325bf7,7f325bf7,1,1,5
阿珍爱上了阿强,118.886,3d68b1db,3d68b1db,1,1,5
我也想捡老婆,129.745,a645ed5c,a645ed5c,1,1,5
完结,131.015,c2bb75e9,c2bb75e9,1,1,5
这。。。好像日不过啊,134.71,ebcd526e,ebcd526e,1,1,5
狗子：吓老子一跳！,140.938,539e4626,539e4626,1,1,5
这狗不错,142.144,f362240c,f362240c,1,1,5
是《黄貂鱼号》，左上角有写，之前别人和温导打赌绝对不可能放这部，结果233,143.751,79382f26,79382f26,1,1,5
这么刚的吗？？？,143.758,6cb2b92a,6cb2b92a,1,1,5
一言不合就拆家,145.423,63815663,63815663,1,1,5
我的妈耶,147.993,d3a82d67,d3a82d67,1,1,5
人在家中座，老婆水里来,149.702,d4405494,d4405494,1,1,5
到死不忘拿渔叉,150.674,57f3c644,57f3c644,1,1,5
狗狗可爱,151.207,4b6a3700,4b6a3700,1,1,5
生活就像海洋，只有意志坚强的人才能到达彼岸。,155.202,d4fc27be,d4fc27be,1,1,5
啊可爱的狗子,161.598,14c28980,14c28980,1,1,5
不换衣服的吗，滑稽,162.172,b568448a,b568448a,1,1,5
也不给人换身衣服,162.538,f362240c,f362240c,1,1,5
事后,163.614,879c1213,879c1213,1,1,5
狗狗超级可爱,167.854,e3f9496f,e3f9496f,1,1,5
吹爆狗狗,168.169,84a5a0ee,84a5a0ee,1,1,5
我在场，我是那只单身狗,170.325,28ce0446,28ce0446,1,1,5
狗子好萌,171.569,57f3c644,57f3c644,1,1,5
中国海王——袁华  路过,172.999,9448fdd8,9448fdd8,1,1,5
禽兽不如,173.326,59e3a0e1,59e3a0e1,1,1,5
你愁啥？,174.416,1cab516b,1cab516b,1,1,5
求抱抱的狗狗,174.89,67ffb133,67ffb133,1,1,5
小老弟你怎么回事,175.241,23503806,23503806,1,1,5
事后~,175.822,c8dd6f13,c8dd6f13,1,1,5
好大     2.5值了,176.944,480ef018,480ef018,1,1,5
卡哇伊的小狗狗,177.486,1.08974E+06,1.08974E+06,1,1,5
狗,177.575,c0660693,c0660693,1,1,5
可以肯定有狗必活论，因为国外动保,179.241,752e6be7,752e6be7,1,1,5
汪酱,180.691,7c103520,7c103520,1,1,5
像极了爱情,182.385,c97d1291,c97d1291,1,1,5
事后,185.999,8970a392,8970a392,1,1,5
像极了爱情,186.191,c97d1291,c97d1291,1,1,5
狗子好看,187.976,5ad70b9e,5ad70b9e,1,1,5
隔着衣服包扎，讲究,190.511,a2b006b5,a2b006b5,1,1,5
可怜的电视机,192.03,9fdd3e71,9fdd3e71,1,1,5
大大大,192.445,f8829166,f8829166,1,1,5
漂亮狗,193.493,602cda5a,602cda5a,1,1,5
得想个办法把这个太太搞到手,194.107,592d85cd,592d85cd,1,1,5
什么叫事后啊？,197.384,4f404179,4f404179,1,1,5
好吃,199.898,c2bb75e9,c2bb75e9,1,1,5
尴尬,200.563,753a42ef,753a42ef,1,1,5
衣服不脱就能包扎,202.939,57f3c644,57f3c644,1,1,5
哈哈哈哈,203.417,84e18574,84e18574,1,1,5
好可爱。。。。,207.598,53566463,53566463,1,1,5
狗狗吓到了,208.27,a46a81cc,a46a81cc,1,1,5
昏睡红茶,213.889,ece8b757,ece8b757,1,1,5
为什么可以这淡定,216.163,e9f4e7ed,e9f4e7ed,1,1,5
是中国茶吗,218.213,fd150f36,fd150f36,1,1,5
吃鱼后可爱,220.829,b4673b69,b4673b69,1,1,5
这声音有点奇怪啊,221.497,b0fc53c,b0fc53c,1,1,5
要素察觉,223.038,365fb26e,365fb26e,1,1,5
为什么不放枸杞?,228.238,365fb26e,365fb26e,1,1,5
阿珍爱上了阿强,230.053,fd150f36,fd150f36,1,1,5
放入红花是魔鬼吗？那我放入蓝花,232.786,ad69c961,ad69c961,1,1,5
厨艺技能必须点满才行,233.222,c2bb75e9,c2bb75e9,1,1,5
为什么他们能听懂英语,236.825,e24daabc,e24daabc,1,1,5
海王,238.998,f15c3406,f15c3406,1,1,5
红花茶？,240.972,cf0d722c,cf0d722c,1,1,5
不烫吗,241.227,6e0ef112,6e0ef112,1,1,5
阿帕茶,241.281,367415eb,367415eb,1,1,5
很漂亮,242.318,ceeaa5ec,ceeaa5ec,1,1,5
 I'm fine fuck you!!!!,242.433,ecf09861,ecf09861,1,1,5
鱼还能听懂英语,243.029,b3eb1aa,b3eb1aa,1,1,5
发发发发,243.101,50d42ffc,50d42ffc,1,1,5
我在海边为什么捡不到妹子.....,243.158,f09a9738,f09a9738,1,1,5
大佬喝茶,244.079,3dd35129,3dd35129,1,1,5
老婆可通过海边捡来 国家统一发放等多种途径获得,245.226,ce00e30a,ce00e30a,1,1,5
nice的微笑,246.097,c73c7728,c73c7728,1,1,5
神特么阿帕茶,246.325,24a1a1a4,24a1a1a4,1,1,5
=。= 那么好的女王去哪里捡一个..,252.956,3b4b0407,3b4b0407,1,1,5
全世界都在说英语。。,253.139,e4042a3,e4042a3,1,1,5
我记得我的世界亚特兰蒂斯。,254.768,62d60cf8,62d60cf8,1,1,5
昏睡红茶,255.01,cb448413,cb448413,1,1,5
英语国不错,255.763,c09085c1,c09085c1,1,1,5
wow，你居然会说英语,257.165,99b800bd,99b800bd,1,1,5
妮可是真的好看,257.291,673288bd,673288bd,1,1,5
全世界都会说英语系列,257.673,f06c872e,f06c872e,1,1,5
胡阿牛,259.862,e9a8060f,e9a8060f,1,1,5
我叫成龙，你的守护人,261.441,818ffd8b,818ffd8b,1,1,5
全世界都说英文233,263.406,96d4c1e8,96d4c1e8,1,1,5
我是不是该去缅因州区捡个老婆呢？,264.937,26283fea,26283fea,1,1,5
这个笑容，awsl,265.018,ceeaa5ec,ceeaa5ec,1,1,5
bgm超美,266.09,c4771e4,c4771e4,1,1,5
爱情,266.467,f7063f53,f7063f53,1,1,5
觉得爸爸妈妈这对甜甜的相遇,267.776,ebf9cebd,ebf9cebd,1,1,5
我闻到了恋爱得酸菜,268.211,639c0d0d,639c0d0d,1,1,5
awsl,268.243,7f1c892d,7f1c892d,1,1,5
英语全宇宙通用,268.67,fae3be7a,fae3be7a,1,1,5
耳朵怀孕了,268.678,295bebb,295bebb,1,1,5
绝美爱情配这个BGM，啊啊啊太棒了！,268.882,6fdfd843,6fdfd843,1,1,5
全宇宙都在讲英文,269.21,a3d65c4,a3d65c4,1,1,5
吹爆冰岛,269.362,8a038ae2,8a038ae2,1,1,5
55555555,269.473,50afe36a,50afe36a,1,1,5
这个bgm我真实哭泣,270.661,3277bbf3,3277bbf3,1,1,5
胸大屁股翘,272.018,f88b9733,f88b9733,1,1,5
太美好了,272.598,a9c799f9,a9c799f9,1,1,5
awsl,274.995,492e3b6c,492e3b6c,1,1,5
宛如另一个世界的全宇宙通用日语,275.286,60ea0906,60ea0906,1,1,5
我的茶是下了药的,276.565,dd8190b1,dd8190b1,1,1,5
这就捡了个媳妇,277.281,cf2dd1b0,cf2dd1b0,1,1,5
握草握草，我最爱的后摇,279.021,fc7ebbf2,fc7ebbf2,1,1,5
干一条鱼是什么体验,279.834,4306b7b9,4306b7b9,1,1,5
给我一片鱼塘   我做你的海王,281.079,844f9767,844f9767,1,1,5
传说美人鱼等可以说世界上所有都语言,281.449,8cee6a99,8cee6a99,1,1,5
bgm我吹爆,281.927,bd430a06,bd430a06,1,1,5
还有通用语言中文,283.006,d7dab6ea,d7dab6ea,1,1,5
所以你就日了鱼？,283.553,17a40273,17a40273,1,1,5
全宇宙都在讲英语(ノ｀⊿´)ノ,284.204,d69ea45d,d69ea45d,1,1,5
是左上角有歌名,286.13,e1780bcf,e1780bcf,1,1,5
阿珍爱上了阿强,287.105,ebae4860,ebae4860,1,1,5
和亚马逊人一样，他们掌握多门语言，中文也会,288.405,e1589a7b,e1589a7b,1,1,5
我也要去守灯塔,289.351,ebcd526e,ebcd526e,1,1,5
我爱DC！！！！！,289.503,c9fdc778,c9fdc778,1,1,5
阿珍爱上了阿强,291.481,6a3d8d68,6a3d8d68,1,1,5
舔狗c,291.669,c4bf912a,c4bf912a,1,1,5
所有的歌名都在左上角有写,292.362,40b09151,40b09151,1,1,5
真日鱼了,292.693,dd8190b1,dd8190b1,1,1,5
白嫖,292.784,9addbe0c,9addbe0c,1,1,5
天降老婆,294.236,198a2e75,198a2e75,1,1,5
左上角有歌名,296.791,40b09151,40b09151,1,1,5
神仙字幕组，全网就B站这里有字幕，有歌曲名字,299.623,609b8f3d,609b8f3d,1,1,5
又想骗我去守灯塔,299.798,7c37c2fe,7c37c2fe,1,1,5
论霸道总裁爱上穷小子,300.311,352b4632,352b4632,1,1,10
爱情来得猝不及防,301.797,192374f4,192374f4,1,1,10
这都行  女王都能捡了 233333,302.982,50d4a06f,50d4a06f,1,1,10
又想骗我去看灯塔,304.283,7f1c892d,7f1c892d,1,1,10
可怕,304.798,5035cee9,5035cee9,1,1,10
这么多人看着呢，收敛一点,304.914,b7be17d7,b7be17d7,1,1,10
猝不及防的狗粮,304.924,d69ea45d,d69ea45d,1,1,10
好主动…,305.987,c8dd6f13,c8dd6f13,1,1,10
别想骗我守灯塔,306.078,16eac282,16eac282,1,1,10
又骗我去守灯塔,309.418,e32d12f9,e32d12f9,1,1,10
父母是真爱 孩纸只是意外,310.293,f4765d8a,f4765d8a,1,1,10
没有生殖隔离吗,310.922,b36a33bc,b36a33bc,1,1,10
一秒完事,312.761,367415eb,367415eb,1,1,10
守塔人招聘广告,312.981,f362240c,f362240c,1,1,10
亲嘴能怀孕。。我才知道（手动滑稽）,313.519,8edab9c4,8edab9c4,1,1,10
父母真爱 孩子意外,313.877,f4765d8a,f4765d8a,1,1,10
一晚怀孕。。。我都怀疑人生了,315.121,1e2c8690,1e2c8690,1,1,10
骡子是没有生殖能力的，所以海王也是没有生殖能力的,315.357,25c598ad,25c598ad,1,1,10
请问   老婆那里捡  我也想要,315.896,480ef018,480ef018,1,1,10
？？？？？？？？？？？,316.574,d811c6b,d811c6b,1,1,10
生殖隔离。。。。。地理隔离。。。。,317.525,def3ea7d,def3ea7d,1,1,10
真！海的味道,318.294,24504fed,24504fed,1,1,10
海鲜过敏,319.69,bd8b2a27,bd8b2a27,1,1,10
所以，女皇为了反抗ZZ婚姻，和族人干了一仗，丢下族人好多年？,321.113,e9f4e7ed,e9f4e7ed,1,1,10
这两位有啥区别吗。。,327.2,e08d7bfb,e08d7bfb,1,1,10
你可是将来要成为海王的男人,329.458,6f4ca97,6f4ca97,1,1,10
捡老婆,329.841,ff1d9b50,ff1d9b50,1,1,10
生殖隔离是什么 我只知道人类女性 或男性的强大。,331.969,b1890acc,b1890acc,1,1,10
亚瑟王,333.095,c2bb75e9,c2bb75e9,1,1,10
没有生殖隔离，为啥,335.108,6ed549b5,6ed549b5,1,1,10
杂合子的优势,335.252,eed98192,eed98192,1,1,10
众所周知，美国人老婆都是捡来的。,335.296,380bb380,380bb380,1,1,10
神TM克服远缘杂交不亲,336.07,da134602,da134602,1,1,10
请收下我的膝盖,336.342,b5eb9b0d,b5eb9b0d,1,1,10
海马王,337.318,ba46f777,ba46f777,1,1,10
不如叫史蒂文·亚当斯（雷霆蓝）,338.838,a8e07a7f,a8e07a7f,1,1,10
徐锦江老师，是你吗（滑稽）,339.001,8b3d27d,8b3d27d,1,1,10
杂合子,339.584,ce860d49,ce860d49,1,1,10
袁华,341.705,76f69a6f,76f69a6f,1,1,10
这个男的接受能力好强啊,342.504,fe7561cc,fe7561cc,1,1,10
草鱼,342.881,8421478e,8421478e,1,1,10
鼻子好看,343.018,2dc118ae,2dc118ae,1,1,10
Nikon实力赞助,343.628,2eef6194,2eef6194,1,1,10
尼康给了多少钱，我sony...算了 反正也给不起,343.628,2eef6194,2eef6194,1,1,10
尼康给你多少钱？我莱卡给你三倍,347.268,9fa998a4,9fa998a4,1,1,10
尼康给了你多少钱，我佳能出双倍,347.767,14b5b7f,14b5b7f,1,1,10
干嘛用nikon不用华为p30pro吊打单反,350.076,90a0419e,90a0419e,1,1,10
来人，给公子灌奶！,352.779,2d014533,2d014533,1,1,10
我佳能三倍,353.323,673288bd,673288bd,1,1,10
三叉戟？不是五叉吗？,353.342,342b2d59,342b2d59,1,1,10
狗狗,353.614,e3f9496f,e3f9496f,1,1,10
狗子长大了,355.605,806c7f35,806c7f35,1,1,10
广告啊,361.366,4f404179,4f404179,1,1,10
辣鸡,376.149,fb26a965,fb26a965,1,1,10
他爹啥时候死,376.338,23ec54cc,23ec54cc,1,1,10
海王你,378.462,b7f51d88,b7f51d88,1,1,10
K吓我一跳,378.678,a9c799f9,a9c799f9,1,1,10
糟糕,379.306,57f3c644,57f3c644,1,1,10
FIB！ OPEN THE DOOR！,382.229,d1721878,d1721878,1,1,10
开一个,382.293,fb26a965,fb26a965,1,1,10
吓我一跳,382.59,258b7b6e,258b7b6e,1,1,10
铠，，，铠甲勇士？,382.611,62776005,62776005,1,1,10
哦豁,385.04,b945ba1b,b945ba1b,1,1,10
哈哈，标准剧情。。。,385.478,760c23c2,760c23c2,1,1,10
法海你来啦？,385.623,8c5a4cd0,8c5a4cd0,1,1,10
似李，热切,385.859,96907a44,96907a44,1,1,10
开墙，设区送温暖,387.038,16eac282,16eac282,1,1,10
2.5承包妮可,387.263,5.96868E+14,5.96868E+14,1,1,10
女王教做人…不对鱼 不对 反正就是教就对了系列,389.74,b1890acc,b1890acc,1,1,10
铠甲勇士？,391.449,8bbc55e0,8bbc55e0,1,1,10
似李，铠甲勇士,391.542,8706b16c,8706b16c,1,1,10
 铠甲勇士？,391.56,91232667,91232667,1,1,10
士官长?,391.737,11d9ee13,11d9ee13,1,1,10
旁边就是门2333333,392.192,ee4e50c8,ee4e50c8,1,1,10
FBI，开门,394.344,d69ea45d,d69ea45d,1,1,10
彩虹拆迁队,394.361,1e2c8690,1e2c8690,1,1,10
枪是什么鬼哈哈哈哈,395.295,6692463c,6692463c,1,1,10
铠甲勇士??,396.18,24c96853,24c96853,1,1,10
此处士兵踩碎了相框，这一幕预示了怎样的剧情发展？表达了作者怎样的思想感情？请结合上下文文回答。（15分）,397.537,d9382ea2,d9382ea2,1,1,10
开门 查水表,398.198,6cb2b92a,6cb2b92a,1,1,10
女的声音好老,399.437,25a15268,25a15268,1,1,10
虾兵蟹将,400.518,76531801,76531801,1,1,10
什么鬼,400.973,a648dd6a,a648dd6a,1,1,10
.....,403.77,b517f475,b517f475,1,1,10
，，，，，科技太发达了吧？,404.325,fbfd150a,fbfd150a,1,1,10
我他喵以为星球大战呢,407.098,6f4ca97,6f4ca97,1,1,10
国王,408.374,54df2bc8,54df2bc8,1,1,10
查水表了,409.393,c2bb75e9,c2bb75e9,1,1,10
前面阿尔德之印的等等……,410.399,bd4f5ede,bd4f5ede,1,1,10
本来就塑料做的不塑料感钢铁感？,411.121,279da79a,279da79a,1,1,10
这段电影院看真的爽，特别是IMAX,413.081,bc818c99,bc818c99,1,1,10
铠甲勇士,414.998,90a0419e,90a0419e,1,1,10
我一直都很好奇，亚特兰蒂斯明明有这么高的科技，为什么还怕人类,415.123,75a6dc3e,75a6dc3e,1,1,10
科幻。。。。。。,417.991,740b6162,740b6162,1,1,10
我猜老公会死,418.365,57f3c644,57f3c644,1,1,10
宝莲灯展开,420.949,98c8e458,98c8e458,1,1,10
幸运e,421.436,c2bb75e9,c2bb75e9,1,1,10
这一点都不像海洋生物。。。,421.436,18e1ca35,18e1ca35,1,1,10
这铠甲有点廉价啊,422.316,2eef6194,2eef6194,1,1,10
红红红红红红,422.705,400e0b28,400e0b28,1,1,10
宝莲灯,425.854,64d43cf1,64d43cf1,1,1,10
宝莲灯展开,426.24,98c8e458,98c8e458,1,1,10
强大的老婆，可能，这男的是气管炎（妻管严）,432.834,c74b320f,c74b320f,1,1,10
神仙般的摄像选镜,433.528,a3af5db4,a3af5db4,1,1,10
这经费的打斗,436.139,4da26f63,4da26f63,1,1,10
说宝莲灯的还真别说，挺像的这剧情哈哈,436.258,cf4ffeca,cf4ffeca,1,1,10
自古幸运e,441.461,c2bb75e9,c2bb75e9,1,1,10
强大的老婆，可能，这男的是气管炎（妻管严）,443.574,c74b320f,c74b320f,1,1,10
家就这么没了？,444.69,cee0d0b7,cee0d0b7,1,1,10
说好的只有最强壮的亚特兰蒂斯，人才能拿吗，为什么他就丢过去了？>o<,444.854,565a0740,565a0740,1,1,10
影院4d这段是真的爽,444.889,45a68643,45a68643,1,1,10
鬼鬼 帅啊,446.406,29cd49b4,29cd49b4,1,1,10
nb啊,446.421,4e603070,4e603070,1,1,10
这个视角!我能看一百遍!,447.19,8af23cf8,8af23cf8,1,1,10
一镜到底,449.394,3dd35129,3dd35129,1,1,10
额,449.45,890c24ec,890c24ec,1,1,10
拆迁队,449.618,7dd70d87,7dd70d87,1,1,10
imax质感很好啊，没这么晃,451.695,ca88c88f,ca88c88f,1,1,10
太帅了叭,452.958,48ec0f28,48ec0f28,1,1,10
这就是温子仁的实力啊,453.231,3eb11c21,3eb11c21,1,1,10
电影院看过来的，这个特效真的电影院不错,454.058,905857a3,905857a3,1,1,10
长镜头太炫了！,454.899,e840cbaf,e840cbaf,1,1,10
哈瑟老子了,458.133,8245ae74,8245ae74,1,1,10
拆迁队大队长,458.241,dccb7f50,dccb7f50,1,1,10
拆迁队,459.475,508a62aa,508a62aa,1,1,10
镜头感帅气,460.67,620478a8,620478a8,1,1,10
这运镜nb,461.63,917577c1,917577c1,1,1,10
想要海王抱抱,462.077,f7535bfe,f7535bfe,1,1,10
這個家不用要了,462.454,1a7b6be4,1a7b6be4,1,1,10
镜头帅,462.516,57f3c644,57f3c644,1,1,10
镜头可以,462.934,40ae7bf6,40ae7bf6,1,1,10
没想到吧，非酋也有一天会变成有钱人。,463.02,1cbe9f25,1cbe9f25,1,1,10
刚刚好爽,463.218,5bad2a4,5bad2a4,1,1,10
好几个水冷RGB就这么被叉了,463.261,ac699ac,ac699ac,1,1,10
帅啊,463.266,8fc9f7b0,8fc9f7b0,1,1,10
啦啦啦,463.36,d0815e68,d0815e68,1,1,10
真是帅,463.448,d05f550c,d05f550c,1,1,10
这也太美了8,464.128,c4759c42,c4759c42,1,1,10
镜头太炫酷了,464.532,748da8ea,748da8ea,1,1,10
2.5的特效就是不一样啊,466.998,9f714115,9f714115,1,1,10
妈耶 真的强,467.029,58c2a650,58c2a650,1,1,10
awsl,468.15,9e20257c,9e20257c,1,1,10
帅啊,468.322,689267d3,689267d3,1,1,10
np,468.469,54334605,54334605,1,1,10
漂亮的rgb,468.539,dd4d0f64,dd4d0f64,1,1,10
哇瑟，好美,468.862,d0ba26e3,d0ba26e3,1,1,10
牛逼,469.513,54667b4e,54667b4e,1,1,10
好帅啊,471.094,3382df27,3382df27,1,1,10
让世界感受痛楚,471.339,21a9311e,21a9311e,1,1,10
wow,471.87,27229d79,27229d79,1,1,10
父母真爱 孩纸是意外,473.621,f4765d8a,f4765d8a,1,1,10
去内蒙啊，没海,477.267,e3b3a926,e3b3a926,1,1,10
不行啊北部有蒙古海军,481.865,b517f475,b517f475,1,1,10
去内蒙的哈哈哈哈哈哈,481.895,40ae7bf6,40ae7bf6,1,1,10
反正你要回去  干嘛打死那群小兵,482.252,d13ac116,d13ac116,1,1,10
亚瑟王。,483.392,99c2f928,99c2f928,1,1,10
为啥不搬到内陆,483.705,7827d786,7827d786,1,1,10
既然要回去你为什么要打他们,484.056,25a15268,25a15268,1,1,10
去内陆不就行了，比如云贵川陕甘宁……,485.439,bd4f5ede,bd4f5ede,1,1,10
这展开也太快了吧,486.647,673288bd,673288bd,1,1,10
都怪你亚当斯,488.438,106061fd,106061fd,1,1,10
跟着士兵回去就让亚瑟和他爸暴露了,488.994,fe1da503,fe1da503,1,1,10
回  归  深  海,490.417,d6a072e5,d6a072e5,1,1,10
真棒啊,490.646,8d57dc79,8d57dc79,1,1,10
我咋觉得看的很尴尬？,490.678,b521df97,b521df97,1,1,10
搬到哥谭市怎么样,490.835,620478a8,620478a8,1,1,10
搬家去蒙古他们能找得到？,491.418,c4eefda1,c4eefda1,1,1,10
去喜马拉雅山,492.806,d2cd6d73,d2cd6d73,1,1,10
这剧情放国产电影真要被喷死,495.819,197005c8,197005c8,1,1,10
去哥谭市啊！,495.998,620478a8,620478a8,1,1,10
这样才能保护他们的孩子,497.03,a1fa62dd,a1fa62dd,1,1,10
回去前不干一炮吗？,497.99,301efd3a,301efd3a,1,1,10
在这眼泪会流进肚子,504.364,4e2cae7f,4e2cae7f,1,1,10
深海哥,505.2,bc130066,bc130066,1,1,10
？,506.992,caac913e,caac913e,1,1,10
这不是董永与七仙女?,508.505,78881c03,78881c03,1,1,10
放生老婆,509.362,279da79a,279da79a,1,1,10
快去请海绵宝宝,511.598,edc21992,edc21992,1,1,10
搬到哥谭市,511.676,a60e8cf5,a60e8cf5,1,1,10
来我大四川我罩你你,512.022,24212434,24212434,1,1,10
前面的海水难道不是咸的吗 ,512.768,53f0754f,53f0754f,1,1,10
emm,512.921,6f20bae8,6f20bae8,1,1,10
蒙古海军司令于老爷子,513.403,246f10bf,246f10bf,1,1,10
到咱们中国，怎么禁止武装入内,513.649,f8db86e7,f8db86e7,1,1,10
搬到外蒙的  王下七武海教海王做人,513.68,f24f6308,f24f6308,1,1,10
撒哈拉沙漠，请,514.841,367415eb,367415eb,1,1,10
搬到沙漠去,514.958,69c2cd1c,69c2cd1c,1,1,10
搬中东去！,515.331,918bd83b,918bd83b,1,1,10
放生老婆,515.798,5035cee9,5035cee9,1,1,10
在西游记里眼泪会流进肚子里,516.297,11d9ee13,11d9ee13,1,1,10
哈哈哈哈哈放生老婆,516.478,2dc118ae,2dc118ae,1,1,10
搬到沙漠吧,517.576,d2cd6d73,d2cd6d73,1,1,10
海王是80后,518.21,502e641c,502e641c,1,1,10
去撒哈拉大沙漠 我就不相信他们的水这么靠谱,519.084,b1890acc,b1890acc,1,1,10
去蒙古，就不信一群海带皮皮虾能追过去,519.369,f4847a1c,f4847a1c,1,1,10
flag,521.13,93b55fd2,93b55fd2,1,1,10
FLAG啊！,521.861,cf2dd1b0,cf2dd1b0,1,1,10
flag以立,523.319,bd1d315e,bd1d315e,1,1,10
敦煌也行,525.187,1ab439e3,1ab439e3,1,1,10
蒙古海军欢迎你,525.244,3dd35129,3dd35129,1,1,10
来广州，来多少吃多少,526.941,6e8f8703,6e8f8703,1,1,10
搬去哥谭啊2333,527.862,930ff9a0,930ff9a0,1,1,10
我觉得这个男的不像外国人,528.385,6f729316,6f729316,1,1,10
flag,528.456,154775ab,154775ab,1,1,10
撒哈拉沙漠可还行？？,530.427,38db446d,38db446d,1,1,10
flag高高立起,530.818,b9d2cfd,b9d2cfd,1,1,10
突然想起伊丽莎白和飞翔的荷兰号船长重聚的一幕,531.334,e9f4e7ed,e9f4e7ed,1,1,10
fovere,535.261,db1e8b0f,db1e8b0f,1,1,10
海鲜打架,537.149,d2cd6d73,d2cd6d73,1,1,10
海王是80后从时间看,537.601,502e641c,502e641c,1,1,10
宝莲灯？,546.604,d69ea45d,d69ea45d,1,1,10
海鲜打架内个你过来,546.921,5e7ce7ef,5e7ce7ef,1,1,10
下海啦 又不做人啦,550.017,215f8bd3,215f8bd3,1,1,10
盔甲修复,550.365,57f3c644,57f3c644,1,1,10
完结,552.979,c7bcd523,c7bcd523,1,1,10
由于长期没有下水，直接淹死,553.28,e91114ee,e91114ee,1,1,10
放生老婆,555.666,48e37cd8,48e37cd8,1,1,10
哥谭，大都会都能兜得住,556.706,3b024167,3b024167,1,1,10
宝莲灯笑死2333,557.347,d2cd6d73,d2cd6d73,1,1,10
开场都十分钟了，别嚣张了,557.478,2c9fcf51,2c9fcf51,1,1,10
你的叉子不要了？,558.514,3ff88449,3ff88449,1,1,10
回头啊,558.724,f42cb336,f42cb336,1,1,10
我去我也想要这跳跃能力,558.863,89744b93,89744b93,1,1,10
三叉戟不要了？,560.483,cec5828c,cec5828c,1,1,10
这个跳水动作没浪花，十分十分,561.206,fd150f36,fd150f36,1,1,10
立地跳远满分!,561.759,a9b7bb26,a9b7bb26,1,1,10
叉子不要了？,561.771,3e5e35c7,3e5e35c7,1,1,10
